DeskHuge,0.000000,0.812500,0.500000,1.000000,
EditBackDesk,0.500000,0.937500,0.750000,1.000000,
Loading0,0.750000,0.968750,1.000000,1.000000,
Loading1,0.750000,0.937500,1.000000,0.968750,
Loading10,0.500000,0.906250,0.750000,0.937500,
Loading2,0.750000,0.906250,1.000000,0.937500,
Loading3,0.500000,0.875000,0.750000,0.906250,
Loading4,0.750000,0.875000,1.000000,0.906250,
Loading5,0.500000,0.843750,0.750000,0.875000,
Loading6,0.750000,0.843750,1.000000,0.875000,
Loading7,0.500000,0.812500,0.750000,0.843750,
Loading8,0.750000,0.812500,1.000000,0.843750,
Loading9,0.000000,0.781250,0.250000,0.812500,
TextBackLongLong,0.250000,0.804688,0.500000,0.812500,
TopWindowDesk,0.500000,0.750000,0.750000,0.812500,
WireframeFrame,0.750000,0.750000,0.908203,0.812500,
TabSun,0.250000,0.726562,0.406250,0.804688,
UiSlots_Back,0.000000,0.656250,0.156250,0.781250,
Phone,0.406250,0.625000,0.531250,0.750000,
PhoneMap,0.531250,0.625000,0.656250,0.750000,
PopUpDesk,0.656250,0.687500,0.781250,0.750000,
Slider_HorBack,0.781250,0.734375,0.906250,0.750000,
Slider_HorBackShort2,0.781250,0.718750,0.906250,0.734375,
Slider_HorFill,0.156250,0.710938,0.281250,0.726562,
TextBackLong,0.281250,0.718750,0.406250,0.726562,
WireboundBig,0.281250,0.656250,0.406250,0.718750,
UiSlots_Slot,0.781250,0.695312,0.890625,0.718750,
ColorIndicator,0.906250,0.746094,1.000000,0.750000,
SettingsDesk,0.906250,0.699219,1.000000,0.746094,
DropDownSlot,0.156250,0.695312,0.234375,0.710938,
Accept,0.890625,0.667969,0.953125,0.699219,
Bake,0.156250,0.664062,0.218750,0.695312,
Bush,0.218750,0.664062,0.281250,0.695312,
Campfire,0.781250,0.664062,0.843750,0.695312,
CheckBoxOff,0.656250,0.656250,0.718750,0.687500,
CheckBoxOn1,0.718750,0.656250,0.781250,0.687500,
CheckBoxOn2,0.843750,0.636719,0.906250,0.667969,
CheckBoxOn3,0.906250,0.636719,0.968750,0.667969,
Chugaister,0.156250,0.632812,0.218750,0.664062,
Cloud,0.218750,0.632812,0.281250,0.664062,
Color,0.781250,0.632812,0.843750,0.664062,
ColorSelectorAreaB,0.000000,0.648438,0.062500,0.656250,
ColorSelectorAreaHS,0.062500,0.625000,0.125000,0.656250,
Compass,0.281250,0.625000,0.343750,0.656250,
CurveLine,0.343750,0.625000,0.406250,0.656250,
Decline,0.656250,0.625000,0.718750,0.656250,
Down,0.718750,0.625000,0.781250,0.656250,
Empty,0.000000,0.617188,0.062500,0.648438,
Falloff,0.843750,0.605469,0.906250,0.636719,
Fences_1,0.906250,0.605469,0.968750,0.636719,
Fences_2,0.125000,0.601562,0.187500,0.632812,
Fences_3,0.187500,0.601562,0.250000,0.632812,
Gear,0.781250,0.601562,0.843750,0.632812,
GoldenCircle,0.062500,0.593750,0.125000,0.625000,
Grass,0.250000,0.593750,0.312500,0.625000,
Human,0.312500,0.593750,0.375000,0.625000,
Layer_1,0.375000,0.593750,0.437500,0.625000,
Layer_2,0.437500,0.593750,0.500000,0.625000,
Layer_3,0.500000,0.593750,0.562500,0.625000,
Left,0.562500,0.593750,0.625000,0.625000,
Load,0.625000,0.593750,0.687500,0.625000,
Map,0.687500,0.593750,0.750000,0.625000,
Mavka,0.000000,0.585938,0.062500,0.617188,
Minus,0.843750,0.574219,0.906250,0.605469,
Mouse,0.906250,0.574219,0.968750,0.605469,
Music,0.125000,0.570312,0.187500,0.601562,
Pc,0.187500,0.570312,0.250000,0.601562,
Pedestal,0.750000,0.570312,0.812500,0.601562,
PinOff,0.062500,0.562500,0.125000,0.593750,
PinOn,0.250000,0.562500,0.312500,0.593750,
Pivot,0.312500,0.562500,0.375000,0.593750,
Plus,0.375000,0.562500,0.437500,0.593750,
Precipitation,0.437500,0.562500,0.500000,0.593750,
Question,0.500000,0.562500,0.562500,0.593750,
Resolution,0.562500,0.562500,0.625000,0.593750,
Right,0.625000,0.562500,0.687500,0.593750,
RoadSign,0.687500,0.562500,0.750000,0.593750,
Roads_1,0.000000,0.554688,0.062500,0.585938,
Roads_2,0.812500,0.542969,0.875000,0.574219,
Roads_3,0.875000,0.542969,0.937500,0.574219,
RollingPin,0.937500,0.542969,1.000000,0.574219,
Save,0.125000,0.539062,0.187500,0.570312,
Shadow,0.187500,0.539062,0.250000,0.570312,
Size,0.750000,0.539062,0.812500,0.570312,
SliderNeutralHor,0.062500,0.531250,0.125000,0.562500,
SliderNeutralHor2,0.250000,0.531250,0.312500,0.562500,
SliderNeutralVert,0.312500,0.531250,0.375000,0.562500,
Slider_Circle_Area,0.375000,0.531250,0.437500,0.562500,
Slider_Circle_Handle,0.437500,0.531250,0.500000,0.562500,
Slider_HorBack2,0.500000,0.546875,0.562500,0.562500,
Slider_HorFill2,0.562500,0.546875,0.625000,0.562500,
Sound,0.625000,0.531250,0.687500,0.562500,
Sun,0.687500,0.531250,0.750000,0.562500,
Sunflower,0.000000,0.523438,0.062500,0.554688,
